Class code,Class,Sample,Session.Sample,R,G,B
3,W,8,6.8,0.180998751,0.089673336,0.079641375
1,LL,9,6.9,0.107064697,0.049928841,0.046159106
2,G,10,6.10,0.067860002,0.03475417,0.038360735
3,W,11,6.11,0.126157717,0.053957466,0.049607377
2,G,12,6.12,0.078612279,0.044483077,0.048128897
2,G,13,6.13,0.135905004,0.081806665,0.073506145
2,G,14,6.14,0.208606732,0.140544179,0.137951833
1,LL,15,6.15,0.162416993,0.081441225,0.061694314
3,W,16,6.16,0.123548286,0.040670986,0.040266661
1,LL,17,6.17,0.144543806,0.085559443,0.072340843
2,G,18,6.18,0.138054385,0.110944402,0.090130713
2,G,19,6.19,0.036423298,0.024424619,0.031288053
2,G,20,6.20,0.287133518,0.134848621,0.082472516
3,W,21,6.21,0.739227616,0.463676297,0.332344061
1,LL,22,6.22,0.101006185,0.048306647,0.044477544
3,W,23,6.23,0.233689342,0.104381963,0.086260858
2,G,24,6.24,0.126211091,0.081801394,0.078841193
2,G,25,6.25,0.142708146,0.062208783,0.054676259
3,W,26,6.26,0.060957999,0.017261296,0.021505699
2,G,27,6.27,0.061745441,0.050325471,0.054984694
3,W,28,6.28,0.185682421,0.06128606,0.054948382
3,W,29,6.29,0.146144905,0.101418937,0.092221129
1,LL,30,6.30,0.1556664,0.051958265,0.043417205
1,LL,31,6.31,0.08883801,0.043446509,0.044544726
4,BP,34,6.34,0.194788088,0.142022782,0.122673382
6,AP,35,6.35,0.038602555,0.024672757,0.032698257
4,BP,36,6.36,0.150147863,0.127574128,0.108996742
4,BP,37,6.37,0.073590702,0.053626903,0.052149991
5,MP,38,6.38,0.098435886,0.057622746,0.055670807
7,RP,39,6.39,0.027071644,0.018053842,0.02608076
8,RU,41,6.41,0.362131531,0.359447834,0.33202962
7,RP,42,6.42,0.294090156,0.226289961,0.193709931
8,RU,43,6.43,0.403462587,0.383402089,0.363516327
4,BP,44,6.44,0.237475078,0.211931618,0.183942253
4,BP,47,6.47,0.116976275,0.077056597,0.071930484
5,MP,48,6.48,0.165421392,0.088700857,0.070447439
5,MP,56,6.56,0.18768634,0.106353764,0.083895015
5,MP,57,6.57,0.161349818,0.091352886,0.075042019
6,AP,58,6.58,0.109564346,0.059066604,0.057189728
5,MP,59,6.59,0.107480014,0.060808648,0.050317696
1,LL,1,7.1,0.182055891,0.093676529,0.076277573
1,LL,2,7.2,0.084637971,0.043473437,0.041922402
2,G,3,7.3,0.088541494,0.06311653,0.061616313
3,W,4,7.4,0.321279378,0.180492766,0.152256125
2,G,5,7.5,0.091745028,0.053581112,0.052700762
3,W,6,7.6,0.131358606,0.090147222,0.092577146
3,W,7,7.7,0.076310537,0.018967994,0.019301845
3,W,8,7.8,0.16390659,0.075273373,0.063833067
1,LL,9,7.9,0.06630823,0.031635361,0.030040413
2,G,10,7.10,0.096926775,0.055008952,0.051399401
3,W,11,7.11,0.291841201,0.1368734,0.110946899
2,G,12,7.12,0.08595928,0.053105243,0.053541521
2,G,13,7.13,0.154731842,0.094987586,0.082491436
2,G,14,7.14,0.294855023,0.207470008,0.185343053
1,LL,15,7.15,0.212507751,0.117020078,0.08769352
3,W,16,7.16,0.370577496,0.109984034,0.083348862
1,LL,17,7.17,0.216936473,0.121309409,0.094241176
2,G,18,7.18,0.398234004,0.301186278,0.246049174
2,G,19,7.19,0.044509903,0.032342895,0.035640612
2,G,20,7.20,0.242720956,0.115796838,0.072370203
3,W,21,7.21,0.733702415,0.490584124,0.373236095
1,LL,22,7.22,0.146299139,0.065159055,0.055258341
3,W,23,7.23,0.333833126,0.160231415,0.121922603
2,G,24,7.24,0.154739323,0.099197345,0.091772623
2,G,25,7.25,0.216852883,0.097542322,0.078002951
3,W,26,7.26,0.053678104,0.021549051,0.026635253
2,G,27,7.27,0.174149426,0.136295696,0.126196967
3,W,28,7.28,0.188644554,0.080406808,0.070380362
3,W,29,7.29,0.22572753,0.151800412,0.132173415
1,LL,30,7.30,0.358537156,0.126764795,0.094619366
1,LL,31,7.31,0.1114924,0.052502157,0.047576069
4,BP,34,7.34,0.489773775,0.369867117,0.30773427
6,AP,35,7.35,0.167270963,0.08151491,0.068385756
4,BP,36,7.36,0.367121848,0.297211865,0.236502386
4,BP,37,7.37,0.211727624,0.147046881,0.11352982
